OrderID,OrderDate,CustomerID,CustomerName,Email,Country,ProductCategory,ProductName,Quantity,Price,PaymentMethod,ShippingAddress,OrderStatus,TotalAmount
1000000,2024-08-23,7520,Jeffrey Stewart,whawkins@yahoo.com,UK,Electronics,Rule,4,136.79,PayPal,"991 Joshua Drive Apt. 948, Elijahside, FL 24518",Completed,547.16
1000001,2021-09-16,3051,Jacob Summers,slawrence@hotmail.com,Australia,Electronics,Region,4,39.22,PayPal,"81796 Stacy Hill Suite 720, Ramirezside, CO 47949",Pending,156.88
1000002,2022-09-29,5222,Mary Rodriguez,velezstacy@francis.com,USA,Clothing,Laugh,5,330.99,Credit Card,"59293 Rollins Drives, Carsonview, CT 74658",Cancelled,1654.95
1000003,2021-12-27,2793,Joshua Boyer,pgibbs@yahoo.com,USA,Sports,Chair,4,304.31,Bank Transfer,"9873 Lee Canyon, West Leahland, MO 94927",Cancelled,1217.24
1000004,2024-12-25,8875,Miss Linda Ellis DDS,cathykelly@yahoo.com,UK,Books,In,1,447.49,Credit Card,"3468 Eric Mountains Apt. 870, Sextonborough, PA 02080",Completed,447.49
1000005,2025-04-17,1704,Elizabeth Strong,stephen75@knight.biz,USA,Clothing,Heavy,5,135.23,Credit Card,"1683 Rachel View, New Brianaberg, HI 21927",Cancelled,676.15
1000006,2022-07-15,8926,Valerie Woods,nicholas03@rogers-anderson.com,Australia,Books,Into,4,230.96,PayPal,"8300 Coleman Key Suite 126, Michaelashire, AR 97375",Pending,923.84
1000007,2023-02-09,7671,Mr. Colton Boone MD,gina46@walton-graves.com,India,Clothing,Bank,2,128.91,PayPal,"583 Johnson Hills Apt. 162, East Gregory, DC 04747",Pending,257.82
1000008,2023-12-16,5434,Stacy Tyler,cunninghamrobert@hotmail.com,India,Books,Indeed,5,397.94,PayPal,"3090 Randy Gardens, West John, WA 24667",Pending,1989.7
1000009,2022-03-31,6573,Sandra Brown,lindsay52@gmail.com,Canada,Clothing,Cause,4,203.55,PayPal,"1185 Clark Square, Webbstad, WV 26171",Cancelled,814.2
1000010,2024-11-18,1627,Hannah Hall,jhammond@flowers.info,UK,Home,Appear,3,249.91,PayPal,"8033 Amber Mews Suite 346, South Carol, PA 04384",Completed,749.73
1000011,2023-04-18,9290,Brian Terrell,santiagobrandon@woodard-wilkins.com,Canada,Clothing,Firm,4,362.24,PayPal,"246 Jones Forge Suite 942, Goldenfort, AR 68755",Cancelled,1448.96
1000012,2022-11-10,2033,David Brown,danieltodd@gmail.com,UK,Electronics,Check,4,138.29,PayPal,"2369 Eric Burgs Apt. 106, Douglasside, MS 03714",Cancelled,553.16
1000013,2023-12-29,9019,Nathaniel Smith,nicholasrhodes@hotmail.com,USA,Clothing,Already,5,97.59,Bank Transfer,"Unit 5471 Box 1184, DPO AE 67274",Pending,487.95000000000005
1000014,2021-07-05,3663,Christopher Escobar,georgemichelle@arroyo.biz,India,Electronics,Poor,1,444.04,PayPal,"219 Jacqueline Rue Suite 873, Port Taylorfurt, RI 67361",Cancelled,444.04
1000015,2022-04-13,5333,Jeffrey George,taylormarissa@gmail.com,Canada,Clothing,Consumer,1,344.2,PayPal,"95221 Davidson Mall, Lake Jodifort, MD 82236",Pending,344.2
1000016,2022-04-01,6516,Monica Murillo,matthewmiller@davis.com,Australia,Electronics,Customer,3,455.73,PayPal,"7554 Julie Cliff Suite 363, South Paulborough, MD 46111",Pending,1367.19
1000017,2022-10-07,3439,Jane Simpson,pcampbell@gmail.com,Australia,Clothing,Sit,4,281.49,PayPal,"5457 Brandon Turnpike Apt. 868, South Wendyton, MS 35516",Pending,1125.96
1000018,2024-12-07,3047,Molly Davis,jamiedavis@brewer-henry.com,UK,Books,Skin,3,488.79,PayPal,"3334 Martin Pike Suite 971, West Thomasstad, LA 15044",Completed,1466.3700000000001
1000019,2025-04-04,9679,Melissa Jensen,davesimmons@heath.com,Australia,Books,Since,3,271.01,Credit Card,"8360 Carter Locks, Harrisonhaven, MI 38255",Completed,813.03
1000020,2023-05-12,8508,Carrie Morrison,huntercastillo@yahoo.com,USA,Clothing,Executive,5,471.55,PayPal,"788 Crystal Trail Suite 204, Sherylberg, WI 83879",Cancelled,2357.75
1000021,2024-09-16,2586,Scott Bradshaw,brenda10@sanders.com,Australia,Books,Whose,2,234.42,Credit Card,"044 Steven Prairie Apt. 238, Shawnbury, UT 12104",Completed,468.84
1000022,2024-03-05,9585,Amanda Scott,michaelbrady@garcia.com,Australia,Clothing,Throughout,5,467.92,Bank Transfer,"116 Joshua Route, Port Douglas, VT 71445",Completed,2339.6
1000023,2022-11-24,8651,Ralph Gordon,lisa23@gmail.com,India,Home,Local,5,157.13,Bank Transfer,"Unit 3195 Box 0001, DPO AA 91485",Pending,785.65
1000024,2022-01-06,6925,Robert Kane,catherine29@yahoo.com,USA,Electronics,Message,3,452.83,PayPal,"3991 Michael Knoll Suite 233, Juarezburgh, NH 42853",Cancelled,1358.49
1000025,2023-09-07,7144,Natalie Johnson,zbrown@williams.org,USA,Electronics,Determine,2,354.29,PayPal,"1998 Rios Plains Apt. 910, Charleschester, NE 80309",Pending,708.58
1000026,2024-12-06,1234,Austin Phelps,charles76@gmail.com,Canada,Books,Surface,5,282.38,PayPal,"52510 Boyd Place Suite 005, East Nathan, AL 58480",Completed,1411.9
1000027,2024-02-02,1248,Lisa Fernandez,wedwards@jones-frazier.com,Canada,Books,Say,4,233.48,Bank Transfer,"8773 Sutton Dam, North Maryville, UT 26012",Pending,933.92
1000028,2023-11-23,7658,Mark Howard,ikennedy@gmail.com,UK,Home,Build,4,309.62,PayPal,"975 Erin Dam Suite 747, Sarahmouth, GA 85606",Completed,1238.48
1000029,2022-12-25,2859,Stephanie Golden,jason54@lopez-fisher.org,USA,Electronics,Art,5,184.94,Bank Transfer,"0945 Oneill Plaza Suite 568, Christianborough, AR 21572",Cancelled,924.7
1000030,2024-08-10,9544,Elizabeth Schroeder,medinachris@gmail.com,Australia,Electronics,While,3,485.52,PayPal,"Unit 1359 Box 6731, DPO AA 27817",Completed,1456.56
1000031,2024-06-13,6326,Austin Gentry,,UK,Books,Economy,1,155.86,Credit Card,"018 Lorraine Glen, New Benjamin, NH 89123",Cancelled,155.86
1000032,2024-11-26,4247,Breanna Esparza,john85@robinson-perez.com,Canada,Sports,I,4,379.8,Credit Card,"066 Jennifer Spurs, Kingstad, OR 68151",Pending,1519.2
1000033,2021-10-22,9331,Samuel Odom,daniellestewart@gmail.com,Canada,Home,Best,2,403.48,PayPal,"4704 White Locks Apt. 424, New Sandraland, CO 80453",Completed,806.96
1000034,2022-06-14,2246,Jessica Ford,gloria07@thomas.com,UK,Sports,Second,4,385.23,Bank Transfer,"427 Kim Avenue Apt. 134, Martinezside, SD 37293",Completed,1540.92
1000035,2022-01-26,5282,Jennifer Jackson,,UK,Home,Would,5,252.63,Credit Card,"98455 Gonzalez Squares Apt. 084, Lake Timothy, AK 09315",Pending,1263.15
1000036,2022-12-24,3136,Kayla Collins,stevenharris@sanders.biz,India,Sports,Field,5,97.77,Credit Card,"7282 Mclean Tunnel Apt. 969, Beanburgh, TX 96011",Completed,488.84999999999997
1000037,2022-10-27,7165,David Torres,cory78@gmail.com,India,Books,Himself,1,282.44,Bank Transfer,"35592 Savage Circles, Port Melanie, UT 64905",Pending,282.44
1000038,2023-05-16,4216,Steven Jones,qpayne@quinn.info,USA,Sports,Painting,4,22.14,PayPal,"6842 David Neck, Kristinamouth, ME 20785",Pending,88.56
1000039,2024-01-18,7609,Sherry Lopez,donaldgonzalez@davis-salazar.net,UK,Sports,Few,4,82.56,PayPal,"3231 Samantha Row Apt. 492, Lake Isaiahberg, IA 65176",Pending,330.24
1000040,2025-04-25,2472,Timothy Stewart,briana08@hotmail.com,UK,Clothing,General,1,312.84,Bank Transfer,"6579 Julia Bridge Suite 180, South Lisaville, CA 77853",Pending,312.84
1000041,2022-07-01,4912,Craig Smith,jorgeheath@hotmail.com,UK,Electronics,Former,5,106.39,Credit Card,"1135 Brown Hills Suite 344, New Mark, IN 59459",Pending,531.95
1000042,2023-09-10,4643,Connor Johnson,wayne70@mcconnell.org,UK,Home,Drive,2,372.41,Bank Transfer,"Unit 6667 Box 8734, DPO AA 83325",Cancelled,744.82
1000043,2022-08-23,6354,Casey Meyer,coxbecky@gmail.com,USA,Books,Popular,3,302.08,PayPal,"7141 Taylor Light Apt. 168, New Angelica, OK 66302",Completed,906.24
1000044,2022-12-03,7809,Samantha Crawford,fischerwilliam@owens.com,Canada,Sports,Society,4,498.61,Bank Transfer,"8743 Barry Lock Apt. 813, Carlsonside, MA 29979",Cancelled,1994.44
1000045,2022-05-18,3648,Craig Jordan,ericrodriguez@carlson-robinson.com,India,Home,Charge,3,13.02,Credit Card,"Unit 3269 Box 5084, DPO AE 15446",Completed,39.06
1000046,2022-11-16,6195,Mr. Michael Skinner,sarah20@hotmail.com,Australia,Clothing,Explain,1,243.3,Credit Card,"1325 Farrell Run, North Rogermouth, AK 30128",Pending,243.3
1000047,2022-08-12,3316,Mr. Kevin Clark,alex21@gmail.com,Canada,Clothing,Paper,2,17.84,PayPal,"189 Gonzalez Hollow Suite 271, Micheleville, OR 11445",Cancelled,35.68
1000048,2021-07-19,2401,Elizabeth Cross,sharon64@mccoy.com,UK,Home,Determine,1,319.55,Bank Transfer,"7776 Brandon Plains Suite 726, Port Mariachester, AL 42593",Completed,319.55
1000049,2022-07-29,4716,Douglas Combs,nelsonsara@cruz.com,Australia,Clothing,Some,2,357.39,Credit Card,"218 Melanie Dam Suite 270, Whitebury, MA 73228",Cancelled,714.78
1000050,2024-06-26,6746,Kelly James,paul81@wells.com,UK,Books,Building,2,28.91,Bank Transfer,"66852 Sarah Lakes Suite 096, Maryhaven, AL 60264",Completed,57.82
1000051,2022-08-29,8373,Debra Quinn,thomaschristine@gmail.com,India,Sports,Sport,5,441.63,Credit Card,"7479 Jose Points Suite 087, South Josephmouth, WY 74204",Completed,2208.15
1000052,2023-12-22,3538,Melissa Willis,jameshayden@hotmail.com,India,Electronics,Safe,4,60.25,Credit Card,"8912 Renee Canyon, Smithtown, NH 08408",Completed,241.0
1000053,2022-01-19,6280,Nicole Rodriguez,melissa46@smith.net,Australia,Home,Hard,2,235.69,Credit Card,"888 Derek Motorway Apt. 094, Travisberg, GA 21602",Pending,471.38
1000054,2023-08-22,3735,Marcus Lester,emilysmith@gmail.com,USA,Sports,Say,3,440.26,Bank Transfer,"6578 Cox Ridge, East Ronald, NY 22290",Pending,1320.78
1000055,2025-03-26,2108,Philip Patrick,woodsandrea@bell.info,Australia,Clothing,Reveal,3,437.71,PayPal,"756 Davis Ports, Martinezshire, MI 38802",Pending,1313.1299999999999
1000056,2021-05-12,4619,Diane Mitchell,gonzalesmatthew@baker.com,UK,Sports,Center,1,440.75,PayPal,"8234 Dennis Springs Suite 615, South David, FL 43779",Cancelled,440.75
1000057,2023-07-02,9005,Katrina Chaney,catherinesweeney@hotmail.com,UK,Home,Best,5,420.44,Credit Card,"5448 Wood Ferry, Garzaborough, RI 34088",Pending,2102.2
1000058,2022-07-20,1578,Jason Townsend,russellamber@james.com,Canada,Clothing,Ball,4,401.89,PayPal,"PSC 1537, Box 5076, APO AA 60896",Completed,1607.56
1000059,2023-09-30,2175,Susan Thornton,shahjacob@thomas.com,Australia,Home,Continue,2,82.17,Credit Card,"8712 Jessica Route Suite 321, Alexfurt, IA 43788",Pending,164.34
1000060,2021-10-06,5518,John Rodriguez,cschaefer@jackson-moran.info,Canada,Home,Skin,1,183.76,Bank Transfer,"PSC 0659, Box 3965, APO AP 19847",Completed,183.76
1000061,2025-02-24,7766,Shawn Nelson,wilcoxdavid@morton.com,Australia,Books,Guess,2,207.49,Credit Card,"10294 Wright Haven, West Bryan, MA 56053",Completed,414.98
1000062,2024-05-08,6212,Derek Sanchez,jeffrey76@richardson.net,Canada,Sports,Wait,3,270.69,Credit Card,"502 Patrick Vista Suite 109, Angelaland, IL 40746",Pending,812.0699999999999
1000063,2023-12-01,6680,Kevin Woods,murrayandrew@rodriguez.com,India,Electronics,Against,2,428.2,PayPal,"88940 Chelsea Square Suite 530, Rachelmouth, NJ 22720",Pending,856.4
1000064,2024-09-02,4923,Adriana Russell,rmarsh@sullivan-hall.info,India,Electronics,Believe,2,284.8,Bank Transfer,"87066 Rivera Underpass, West Brandon, ID 23742",Cancelled,569.6
1000065,2025-03-20,6204,Kevin Prince,wrowe@yahoo.com,India,Clothing,Sit,2,101.81,Bank Transfer,"88607 Mary Spur Apt. 761, North Melissabury, LA 59504",Pending,203.62
1000066,2021-10-31,5783,Sherry Martin,deleonstephanie@jennings.com,Canada,Home,Shake,5,445.75,Bank Transfer,"0566 Bruce Land Suite 431, East Jamieberg, IL 97500",Completed,2228.75
1000067,2023-10-29,5453,Edward Harvey,youngmatthew@gmail.com,Canada,Clothing,Trouble,2,34.27,Credit Card,"1743 Devin Place, Robinview, WA 24663",Completed,68.54
1000068,2024-05-05,4536,Carrie Davis,loneal@turner.com,India,Clothing,Turn,1,298.82,Bank Transfer,"360 Stevens Springs, Romeroshire, ID 04347",Cancelled,298.82
1000069,2022-06-09,7297,Sarah Figueroa,iosborne@yahoo.com,Australia,Home,Sense,3,479.08,Credit Card,"32508 Rebecca Shores, North Mark, CT 19327",Pending,1437.24
1000070,2023-07-19,3992,Mary Cherry,ericfowler@chavez-mills.net,India,Sports,Fund,3,98.66,Bank Transfer,"943 Cynthia Club Apt. 320, Timothyside, CO 89070",Cancelled,295.98
1000071,2023-01-03,3305,George Ruiz,taylorjennifer@hernandez.info,Canada,Home,Take,3,130.87,PayPal,"105 James Land, Whiteberg, TN 18736",Pending,392.61
1000072,2022-09-23,1483,Mary Bates,thomasboone@johnson-fisher.com,India,Electronics,Future,4,407.97,PayPal,"701 Charlotte Junctions, New Heather, WI 05493",Pending,1631.88
1000073,2021-10-29,4616,Jennifer Oconnell,nataliemiller@moore.com,Canada,Home,Especially,1,133.08,PayPal,"817 Ho Fall, Clarkberg, VT 39181",Completed,133.08
1000074,2021-10-05,1433,Danny Ashley MD,lunakatherine@hull-miller.biz,UK,Home,Paper,5,227.24,PayPal,"543 Patty Rapid, Thompsonhaven, IL 44401",Completed,1136.2
1000075,2022-05-27,4846,Jennifer Clark,michael64@gmail.com,Australia,Sports,I,2,396.39,Bank Transfer,"666 Jennifer Forges, Michaelburgh, WA 38868",Pending,792.78
1000076,2023-04-12,1583,Cindy Brown,aaronwilson@yahoo.com,Australia,Electronics,A,1,282.33,Bank Transfer,"06740 Harrington Row, Port Steven, KS 75459",Completed,282.33
1000077,2022-01-07,8931,Mrs. Allison Murphy,fisheralan@brown.com,Canada,Books,Specific,5,484.97,Bank Transfer,"PSC 0496, Box 6095, APO AP 91429",Completed,2424.8500000000004
1000078,2022-08-13,2804,Chris Garcia,sarahbrandt@jensen.com,Australia,Sports,Poor,5,148.58,PayPal,"14538 Rachel Course, Curryfurt, ID 29473",Completed,742.9000000000001
1000079,2022-03-15,2315,Cameron Hunt,kimtina@andrews-rodriguez.com,UK,Clothing,Statement,3,181.56,PayPal,"78540 Parker Forks, Nancyhaven, NH 35836",Cancelled,544.6800000000001
1000080,2021-11-11,2176,Matthew Roach,dunntoni@gmail.com,USA,Electronics,Cold,4,455.29,Credit Card,"891 David Landing, South Nancyhaven, AZ 82077",Pending,1821.16
1000081,2022-10-15,2323,Leah Butler,schneiderchase@brown-navarro.info,Australia,Clothing,Talk,1,214.99,Credit Card,"96782 Austin Centers, Brandonchester, NH 87669",Cancelled,214.99
1000082,2023-10-09,8025,Larry Burton,garzamelissa@cowan.com,India,Sports,Short,4,223.45,Credit Card,"90814 Hayes Light Apt. 687, Lake Kathryn, GA 11239",Completed,893.8
1000083,2025-03-12,5982,Misty Robles,tyler77@yahoo.com,UK,Electronics,Hot,5,419.97,Credit Card,"4237 Gary Fall Suite 922, West Paulport, KY 06447",Completed,2099.8500000000004
1000084,2024-09-10,5796,Brian Price,williamgreene@gmail.com,Australia,Books,Management,2,494.93,PayPal,"4628 Ochoa Lodge Apt. 072, New Angela, OR 73425",Completed,989.86
1000085,2023-02-05,5519,Jeffrey Perkins,sgutierrez@yahoo.com,Australia,Home,To,4,364.61,PayPal,"PSC 6841, Box 0704, APO AP 20591",Completed,1458.44
1000086,2022-12-22,3060,Valerie White,jeffreyhill@nixon.com,India,Electronics,Because,5,31.09,PayPal,"937 Sandra Locks Suite 342, Port Madison, LA 57398",Pending,155.45
1000087,2025-02-05,8260,Michael Obrien,leedavid@myers.com,India,Home,Help,4,335.12,Bank Transfer,"56945 Matthew Spur Apt. 248, West Angelahaven, ME 26274",Completed,1340.48
1000088,2025-02-02,9646,Hannah Johnson,carriescott@george-sellers.com,Canada,Sports,Public,5,315.66,PayPal,"52641 Albert Path, East Rachel, NY 02418",Pending,1578.3000000000002
1000089,2021-11-15,6290,Samuel Pham,amanda20@lee.com,Australia,Electronics,Easy,1,461.26,PayPal,"86489 Christopher Overpass Apt. 092, West Tracy, TN 64898",Completed,461.26
1000090,2024-07-17,5810,Dennis Bonilla,shannontucker@roberts.com,Canada,Books,Nature,1,291.75,PayPal,"12017 Susan Springs, Lake Johnmouth, AK 11838",Cancelled,291.75
1000091,2024-05-13,7955,Jacqueline Hammond,wilsonlindsey@patel-mooney.com,Canada,Electronics,Because,1,359.92,Credit Card,"42942 Daniel Dale Suite 312, New David, MA 58918",Pending,359.92
1000092,2023-12-20,5952,Charles Knight,hcampbell@gmail.com,India,Electronics,Director,5,325.61,Bank Transfer,"157 Flowers Rue Apt. 346, Lake Luischester, PA 50709",Completed,1628.0500000000002
1000093,2023-11-11,4021,Laurie Dean,julia38@lucas.com,USA,Sports,Into,1,43.19,Credit Card,"898 Jones Extension, Jasonville, MN 79575",Completed,43.19
1000094,2023-11-10,3201,Mr. Kyle Jones,ashleyanderson@olson-silva.biz,Canada,Clothing,Live,1,65.28,PayPal,"20409 Jones Rapid, Michaelshire, AR 40227",Cancelled,65.28
1000095,2022-09-23,7241,Victor Rogers,michele05@gomez-cox.com,India,Home,Entire,3,232.37,Bank Transfer,"70661 Christopher Cliff Apt. 354, Lake Jessica, FL 71350",Pending,697.11
1000096,2024-09-18,3861,Amy Turner,kimberlyscott@hotmail.com,Canada,Sports,Can,5,86.09,Credit Card,"5893 Lindsay Plain Apt. 254, Justinburgh, LA 12318",Pending,430.45000000000005
1000097,2024-07-30,6885,Robert Huffman,betty72@gmail.com,USA,Sports,Recognize,3,348.05,PayPal,"7873 Ana Pass Apt. 889, Danielchester, GA 58215",Pending,1044.15
1000098,2022-05-25,8673,Tracy Thomas,shirley77@gmail.com,Canada,Clothing,Main,3,209.15,PayPal,"0423 Sullivan Stravenue Apt. 714, Kellerstad, WY 02366",Cancelled,627.45
1000099,2023-12-14,1043,Aaron Cook,larryellis@hotmail.com,India,Electronics,Give,5,480.37,Bank Transfer,"093 Samantha Street, Doyleport, CA 79380",Completed,2401.85
1000100,2023-06-08,1365,Lisa Mccoy,matthewwilson@johns-mason.com,India,Books,Purpose,3,262.5,Bank Transfer,"844 Rebecca Run Apt. 214, Troyberg, MI 60101",Pending,787.5
1000101,2022-12-29,5755,Tiffany Brown,tracy86@jones.info,USA,Clothing,Small,4,197.03,Bank Transfer,"786 Lisa Ridge Apt. 692, New Mariahton, NH 47244",Completed,788.12
1000102,2024-07-02,9990,Lori Mann,cevans@hotmail.com,Australia,Clothing,Report,5,398.48,Bank Transfer,"68916 Shannon Pine Suite 129, South Maria, MA 57072",Cancelled,1992.4
1000103,2023-09-24,2612,Nicole Perry,lorijackson@campbell.com,USA,Electronics,Window,5,418.02,Credit Card,"650 Shepard Square, Lisastad, NJ 40624",Cancelled,2090.1
1000104,2022-10-01,7724,Robyn Jones,ryancrawford@gmail.com,India,Electronics,Let,1,74.97,Bank Transfer,"5224 Kenneth Point Apt. 024, North Michaelton, NY 01904",Completed,74.97
1000105,2022-12-07,3664,Robert Hunter,montgomerymarie@murphy.info,USA,Home,Soon,2,84.7,PayPal,"163 Fletcher Hill, Port James, MA 72009",Cancelled,169.4
1000106,2025-04-01,8843,Ashley Gonzalez,robertdavis@jenkins.info,Australia,Sports,Candidate,5,478.51,PayPal,"1250 Ricky Forge, Byrdfurt, TX 34515",Cancelled,2392.55
1000107,2025-01-20,9625,Troy Riley,ryan05@gmail.com,Australia,Books,System,1,416.5,Bank Transfer,"89723 Joshua Pass Suite 167, North Catherineport, AZ 34422",Completed,416.5
1000108,2023-05-24,5046,Brian Jones,karengray@ramos-phillips.net,Canada,Home,Much,1,256.68,PayPal,"38005 Johnson Tunnel, Jeanmouth, SC 42020",Cancelled,256.68
1000109,2022-06-23,7888,Monica Cooper,thomas29@hotmail.com,UK,Sports,Think,1,51.18,Credit Card,"228 Michael Way, North Keith, TN 62850",Pending,51.18
1000110,2023-09-09,5118,Marvin Williams,rhonda24@yahoo.com,Canada,Electronics,Woman,3,80.98,PayPal,"385 Nichols Glens, Lake Paul, MN 76134",Pending,242.94
1000111,2023-12-16,5509,Lisa Coleman,yharris@myers-richardson.com,UK,Sports,Represent,4,95.4,PayPal,"5171 Daniel Underpass, Port Walterport, SC 42452",Completed,381.6
1000112,2022-12-04,4891,Justin Dorsey,nicolemcneil@baker.com,Canada,Electronics,Old,2,239.83,PayPal,"1989 Evan Light Suite 048, Taylorland, KY 68229",Cancelled,479.66
1000113,2024-05-26,4637,Amber Gonzalez,lhall@gmail.com,UK,Books,Standard,2,405.13,Credit Card,"3552 Garrett Stravenue Apt. 899, Jamesfort, MN 78283",Pending,810.26
1000114,2024-06-27,4744,Marvin Jarvis,tadams@sharp.com,USA,Electronics,Step,2,240.75,Credit Card,"3981 King Stream Suite 213, Kristinehaven, OK 88746",Completed,481.5
1000115,2023-04-05,2153,Thomas Stewart,tylerbruce@morris-copeland.com,USA,Electronics,Available,2,43.1,Credit Card,"280 Charles Keys, Cartertown, NJ 38255",Cancelled,86.2
1000116,2025-03-27,7290,Robert Norris,gbrady@eaton.com,Canada,Clothing,Change,4,126.36,Credit Card,"82691 Torres Curve Suite 869, Simpsonville, RI 64433",Pending,505.44
1000117,2024-09-03,3318,Jesse Lee,wrightandrew@gmail.com,Australia,Books,Identify,4,325.58,Bank Transfer,"277 Pearson Burgs, Lake Patrickside, ND 25733",Completed,1302.32
1000118,2024-08-13,8671,Daniel Jones,pamelaspencer@yahoo.com,,Clothing,Allow,4,97.18,Bank Transfer,"541 Beltran Glen Apt. 161, Lake Coreymouth, KS 84849",Pending,388.72
